Blocksize,RelSize
100,0.909511
200,0.829876
300,0.781358
400,0.750877
500,0.728852
600,0.708363
700,0.694576
800,0.678693
900,0.669362
1000,0.660088
1100,0.647885
1200,0.642585
1300,0.635519
1400,0.627663
1500,0.622343
1600,0.617668
1700,0.615881
1800,0.612656
1900,0.606558
2000,0.602105
2100,0.595821
2200,0.593062
2300,0.590586
2400,0.591186
2500,0.586288
2600,0.579019
2700,0.57893
2800,0.576718
2900,0.574364
3000,0.572601
3100,0.574672
3200,0.569032
3300,0.56703
3400,0.56389
3500,0.561844
3600,0.563789
3700,0.558295
3800,0.560779
3900,0.561022
4000,0.557983
4100,0.557088
4200,0.554203
4300,0.550641
4400,0.552615
4500,0.552538
4600,0.549487
4700,0.549385
4800,0.549851
4900,0.542656
5000,0.548113
5100,0.541477
5200,0.543397
5300,0.541428
5400,0.543077
5500,0.540695
5600,0.541108
5700,0.538385
5800,0.539272
5900,0.539467
6000,0.538215
6100,0.538786
6200,0.53845
6300,0.535962
6400,0.537243
6500,0.534641
6600,0.534516
6700,0.533053
6800,0.533641
6900,0.531315
7000,0.530355
7100,0.530833
7200,0.532296
7300,0.531696
7400,0.527057
7500,0.529362
7600,0.526635
7700,0.529605
7800,0.527729
7900,0.52467
8000,0.530083
8100,0.53089
8200,0.52696
8300,0.528592
8400,0.525473
8500,0.524537
8600,0.52775
8700,0.528151
8800,0.526413
8900,0.524646
9000,0.526003
9100,0.523455
9200,0.52529
9300,0.528669
9400,0.525092
9500,0.520692
9600,0.522584
9700,0.5245
9800,0.52211
9900,0.52153
10000,0.522373
10100,0.522612
10200,0.519367
10300,0.521024
10400,0.517677
10500,0.514651
10600,0.517223
10700,0.518249
10800,0.52072
10900,0.52008
11000,0.517633
11100,0.515449
11200,0.51416
11300,0.514825
11400,0.515267
11500,0.519035
11600,0.516207
11700,0.518172
11800,0.51521
11900,0.515372
12000,0.51365
12100,0.513723
12200,0.512127
12300,0.51557
12400,0.513994
12500,0.514169
12600,0.512321
12700,0.51303
12800,0.512062
12900,0.511786
13000,0.511928
13100,0.514416
13200,0.513695
13300,0.513306
13400,0.51117
13500,0.509789
13600,0.508812
13700,0.506353
13800,0.507674
13900,0.508581
14000,0.510032
14100,0.512981
14200,0.511519
14300,0.510725
14400,0.511916
14500,0.509947
14600,0.510303
14700,0.506641
14800,0.506945
14900,0.50987
15000,0.511304
15100,0.511081
15200,0.508427
15300,0.508415
15400,0.508164
15500,0.50865
15600,0.50722
15700,0.503683
15800,0.506418
15900,0.508322
16000,0.50844
16100,0.511203
16200,0.511304
16300,0.510198
16400,0.511588
16500,0.508306
16600,0.510247
16700,0.508905
16800,0.509136
16900,0.508816
17000,0.508857
17100,0.509319
17200,0.509971
17300,0.511657
17400,0.510413
17500,0.509817
17600,0.509266
17700,0.507795
17800,0.507179
17900,0.508071
18000,0.507714
18100,0.505964
18200,0.507034
18300,0.506288
18400,0.509594
18500,0.509979
18600,0.511357
18700,0.511709
18800,0.509963
18900,0.507026
19000,0.507633
19100,0.506916
19200,0.506742
19300,0.50536
19400,0.505676
19500,0.504878
19600,0.502788
19700,0.503181
19800,0.502395
19900,0.502625
20000,0.504518
20100,0.504992
20200,0.504785
20300,0.504254
20400,0.504514
20500,0.505693
20600,0.505818
20700,0.504813
20800,0.503541
20900,0.503642
21000,0.502119
