Blocksize,RelSize
100,0.992483
200,0.95129
300,0.915338
400,0.88935
500,0.870552
600,0.846794
700,0.832871
800,0.82028
900,0.810021
1000,0.799917
1100,0.784565
1200,0.777812
1300,0.770168
1400,0.765026
1500,0.758454
1600,0.751827
1700,0.748627
1800,0.741753
1900,0.737174
2000,0.732783
2100,0.722038
2200,0.717603
2300,0.715304
2400,0.71138
2500,0.708375
2600,0.704074
2700,0.703104
2800,0.700864
2900,0.696203
3000,0.694092
3100,0.692996
3200,0.690428
3300,0.688185
3400,0.687352
3500,0.684803
3600,0.68295
3700,0.679835
3800,0.67951
3900,0.676904
4000,0.676105
4100,0.668971
4200,0.667655
4300,0.666026
4400,0.664278
4500,0.663217
4600,0.662366
4700,0.661349
4800,0.659805
4900,0.658175
5000,0.657769
5100,0.6568
5200,0.654863
5300,0.653841
5400,0.653544
5500,0.652254
5600,0.652547
5700,0.649788
5800,0.649223
5900,0.64803
6000,0.646324
6100,0.64649
6200,0.646406
6300,0.64546
6400,0.644027
6500,0.642816
6600,0.642953
6700,0.64175
6800,0.641041
6900,0.640229
7000,0.639588
7100,0.638106
7200,0.638165
7300,0.637474
7400,0.635988
7500,0.635187
7600,0.63476
7700,0.633231
7800,0.633246
7900,0.633714
8000,0.633239
8100,0.632591
8200,0.627699
8300,0.626506
8400,0.626285
8500,0.626115
8600,0.625244
8700,0.62443
8800,0.6236
8900,0.622782
9000,0.622893
9100,0.622392
9200,0.621773
9300,0.621559
9400,0.620092
9500,0.620184
9600,0.62121
9700,0.618738
9800,0.618909
9900,0.618604
10000,0.617956
10100,0.616774
10200,0.61728
10300,0.616658
10400,0.615986
10500,0.615368
10600,0.614433
10700,0.615692
10800,0.613924
10900,0.613005
11000,0.613629
11100,0.612955
11200,0.613107
11300,0.611488
11400,0.612074
11500,0.611543
11600,0.611061
11700,0.610673
11800,0.609582
11900,0.608936
12000,0.609057
12100,0.60943
12200,0.608793
12300,0.608415
12400,0.608096
12500,0.607119
12600,0.607471
12700,0.606189
12800,0.606451
12900,0.605847
13000,0.604388
13100,0.604471
13200,0.60538
13300,0.605586
13400,0.603769
13500,0.604347
13600,0.604007
13700,0.602559
13800,0.602378
13900,0.602895
14000,0.602833
14100,0.601851
14200,0.601978
14300,0.60103
14400,0.600475
14500,0.600333
14600,0.600831
14700,0.60047
14800,0.600173
14900,0.600312
15000,0.59966
15100,0.599321
15200,0.598113
15300,0.598503
15400,0.597535
15500,0.597565
15600,0.597514
15700,0.59744
15800,0.59765
15900,0.595283
16000,0.595189
16100,0.595209
16200,0.595587
16300,0.595969
16400,0.595445
16500,0.595744
16600,0.594428
16700,0.594702
16800,0.593703
16900,0.593127
17000,0.592544
17100,0.592775
17200,0.593007
17300,0.593086
17400,0.592963
17500,0.593105
17600,0.592395
17700,0.592408
17800,0.591251
17900,0.591504
18000,0.590902
18100,0.590823
18200,0.591175
18300,0.591241
18400,0.590663
18500,0.590466
18600,0.589361
18700,0.589859
18800,0.589242
18900,0.589095
19000,0.588746
19100,0.588522
19200,0.588615
19300,0.588789
19400,0.587271
19500,0.586965
19600,0.587422
19700,0.587777
19800,0.588013
19900,0.587828
20000,0.587253
20100,0.587075
20200,0.586534
20300,0.585916
20400,0.585676
20500,0.58575
20600,0.585932
20700,0.586341
20800,0.585696
20900,0.584773
21000,0.584701
21100,0.584557
21200,0.584712
21300,0.585329
21400,0.585611
21500,0.585608
21600,0.584567
21700,0.584107
21800,0.583267
21900,0.583727
22000,0.583579
22100,0.583203
22200,0.582674
22300,0.583221
22400,0.582717
22500,0.581474
22600,0.581455
22700,0.581232
22800,0.580905
22900,0.5808
23000,0.581198
23100,0.581641
23200,0.581481
23300,0.581412
23400,0.580919
23500,0.580438
23600,0.580127
23700,0.580525
23800,0.580058
23900,0.579888
24000,0.579852
24100,0.579346
24200,0.579078
24300,0.579168
24400,0.579032
24500,0.578485
24600,0.578459
24700,0.578094
24800,0.57813
24900,0.578064
25000,0.578194
25100,0.577689
25200,0.577943
25300,0.578102
25400,0.577547
25500,0.577637
25600,0.577383
25700,0.577524
25800,0.57746
25900,0.576705
26000,0.576427
26100,0.575984
26200,0.575995
26300,0.575844
26400,0.57589
26500,0.575471
26600,0.575952
26700,0.574977
26800,0.575419
26900,0.575327
27000,0.575817
27100,0.575566
27200,0.575244
27300,0.574656
27400,0.574525
27500,0.574322
27600,0.574214
27700,0.574476
27800,0.574093
27900,0.573898
28000,0.574328
28100,0.57376
28200,0.573764
28300,0.574225
28400,0.57422
28500,0.574283
28600,0.573796
28700,0.573683
28800,0.57298
28900,0.572741
29000,0.571475
29100,0.570794
29200,0.570853
29300,0.571478
29400,0.570704
29500,0.571009
29600,0.570953
29700,0.571565
29800,0.571405
29900,0.571663
30000,0.571696
30100,0.571629
30200,0.571104
30300,0.571082
30400,0.57081
30500,0.570077
30600,0.570013
30700,0.570002
30800,0.569769
30900,0.569962
31000,0.569704
31100,0.569501
31200,0.569905
31300,0.569748
31400,0.569972
31500,0.570043
31600,0.57083
31700,0.569859
31800,0.569376
31900,0.568833
32000,0.568928
32100,0.569147
32200,0.568709
32300,0.569044
32400,0.568265
32500,0.567785
32600,0.567353
32700,0.567725
32800,0.568404
32900,0.569579
33000,0.570778
33100,0.571061
33200,0.571986
33300,0.572646
33400,0.573034
33500,0.573459
33600,0.573477
33700,0.57464
33800,0.574594
33900,0.575306
34000,0.575199
34100,0.57554
34200,0.576419
34300,0.576049
34400,0.576525
34500,0.577223
34600,0.577015
34700,0.576817
34800,0.576818
34900,0.576512
35000,0.577246
35100,0.57693
35200,0.576886
35300,0.577611
35400,0.57772
35500,0.577429
35600,0.577038
35700,0.57757
35800,0.577609
35900,0.577316
36000,0.578606
36100,0.578901
36200,0.57943
36300,0.579628
36400,0.580184
36500,0.580004
36600,0.580782
36700,0.58006
36800,0.580019
36900,0.579953
37000,0.580174
37100,0.579989
37200,0.579567
37300,0.579857
37400,0.579911
37500,0.57939
37600,0.579644
37700,0.580314
37800,0.579408
37900,0.579217
38000,0.578935
38100,0.578793
38200,0.578516
38300,0.579181
38400,0.5791
38500,0.579472
38600,0.579701
38700,0.579292
38800,0.579341
38900,0.57913
39000,0.579485
39100,0.580032
39200,0.580377
39300,0.581132
39400,0.581597
39500,0.581481
39600,0.581672
39700,0.580788
39800,0.581176
39900,0.581554
40000,0.580762
40100,0.580415
40200,0.580595
40300,0.58078
40400,0.580911
40500,0.58072
40600,0.580444
40700,0.580623
40800,0.581052
40900,0.580747
41000,0.579878
41100,0.580271
41200,0.580043
41300,0.580014
41400,0.580047
41500,0.579834
41600,0.580227
41700,0.580084
41800,0.579924
41900,0.579868
42000,0.580199
42100,0.580413
42200,0.580679
42300,0.58076
42400,0.580551
42500,0.580353
42600,0.580073
42700,0.580133
42800,0.580124
42900,0.579763
43000,0.57985
43100,0.579426
43200,0.578647
43300,0.578809
43400,0.578953
43500,0.578626
43600,0.578465
43700,0.578868
43800,0.579153
43900,0.578971
44000,0.578948
44100,0.578022
44200,0.578491
44300,0.578436
44400,0.579176
44500,0.579343
44600,0.579497
44700,0.578647
44800,0.579256
44900,0.579441
45000,0.578667
45100,0.578586
45200,0.578858
45300,0.578737
45400,0.578311
45500,0.57809
45600,0.578084
45700,0.577973
45800,0.578657
45900,0.578241
46000,0.57801
46100,0.578298
46200,0.578626
46300,0.578712
46400,0.578023
46500,0.578221
46600,0.577897
46700,0.578087
46800,0.577912
46900,0.57735
47000,0.577711
47100,0.577943
47200,0.577509
47300,0.577441
47400,0.57719
47500,0.577154
47600,0.57685
47700,0.575823
47800,0.576021
47900,0.575903
48000,0.575795
48100,0.57625
48200,0.576103
48300,0.576399
48400,0.576699
48500,0.577365
48600,0.576753
48700,0.577147
48800,0.577558
48900,0.577653
49000,0.577478
49100,0.577431
49200,0.577611
49300,0.577589
49400,0.577755
49500,0.577945
49600,0.577971
49700,0.578102
49800,0.577329
49900,0.577842
50000,0.57721
50100,0.577373
50200,0.576908
50300,0.577125
50400,0.57657
50500,0.576074
50600,0.575803
50700,0.574993
50800,0.575535
50900,0.575227
51000,0.574892
51100,0.575165
51200,0.575006
51300,0.575221
51400,0.574846
51500,0.574813
51600,0.574759
51700,0.5751
51800,0.574631
51900,0.574397
52000,0.574191
52100,0.573875
52200,0.573998
52300,0.574189
52400,0.574181
52500,0.574387
52600,0.574378
52700,0.574327
52800,0.574527
52900,0.57469
53000,0.574415
53100,0.573808
53200,0.574199
53300,0.574397
53400,0.574129
53500,0.574679
53600,0.574296
53700,0.574553
53800,0.574906
53900,0.574702
54000,0.574507
54100,0.574726
54200,0.574659
54300,0.574816
54400,0.57414
54500,0.574125
54600,0.574013
54700,0.573865
54800,0.574178
54900,0.574165
55000,0.573859
55100,0.573333
55200,0.573605
55300,0.573875
55400,0.574037
55500,0.573788
55600,0.573444
55700,0.572911
55800,0.573137
55900,0.573543
56000,0.573047
56100,0.573104
56200,0.572983
56300,0.572793
56400,0.57305
56500,0.573161
56600,0.573115
56700,0.572647
56800,0.573258
56900,0.572269
57000,0.572585
57100,0.572762
57200,0.572382
57300,0.571544
57400,0.571799
57500,0.571578
57600,0.570959
57700,0.571329
57800,0.570981
57900,0.570851
58000,0.570555
58100,0.570991
58200,0.570774
58300,0.570558
58400,0.570702
58500,0.570797
58600,0.570995
58700,0.570711
58800,0.570445
58900,0.570755
59000,0.570938
59100,0.571284
59200,0.571613
59300,0.571005
59400,0.571686
59500,0.571431
59600,0.570468
59700,0.570948
59800,0.570833
59900,0.571328
60000,0.57137
60100,0.571693
60200,0.571508
60300,0.57138
60400,0.570904
60500,0.570956
60600,0.570454
60700,0.570531
60800,0.570406
60900,0.570318
61000,0.570449
61100,0.570197
61200,0.569917
61300,0.570442
61400,0.569745
61500,0.569579
61600,0.569537
61700,0.570121
61800,0.569828
61900,0.569691
62000,0.569786
62100,0.56965
62200,0.569732
62300,0.569746
62400,0.569761
62500,0.569532
62600,0.56975
62700,0.569913
62800,0.570082
62900,0.570452
63000,0.570067
63100,0.570187
63200,0.570311
63300,0.569486
63400,0.569601
63500,0.56936
63600,0.569044
63700,0.569003
63800,0.568709
63900,0.568946
64000,0.56845
64100,0.568887
64200,0.568882
64300,0.568636
64400,0.568641
64500,0.568532
64600,0.568713
64700,0.568887
64800,0.567928
64900,0.568145
65000,0.567754
65100,0.567777
65200,0.567252
65300,0.567672
65400,0.567738
65500,0.567576
65600,0.568463
65700,0.568625
65800,0.569232
65900,0.56963
66000,0.570147
66100,0.57038
66200,0.570334
66300,0.570932
66400,0.57149
66500,0.572154
66600,0.572042
66700,0.572323
66800,0.572516
66900,0.572423
67000,0.572909
67100,0.572763
67200,0.572339
67300,0.572377
67400,0.573153
67500,0.573318
67600,0.572696
67700,0.572811
67800,0.573346
67900,0.573217
68000,0.573165
68100,0.57325
68200,0.573223
68300,0.573834
68400,0.573726
68500,0.573559
68600,0.573091
68700,0.573336
68800,0.573412
68900,0.573734
69000,0.573877
69100,0.574142
69200,0.574039
69300,0.574302
69400,0.574242
69500,0.574353
69600,0.574034
69700,0.573814
69800,0.573286
69900,0.573824
70000,0.573947
70100,0.574083
70200,0.573922
70300,0.573512
70400,0.573752
70500,0.574044
70600,0.573598
70700,0.573736
70800,0.57334
70900,0.573628
71000,0.57378
71100,0.573916
71200,0.573662
71300,0.573652
71400,0.573508
71500,0.573043
71600,0.573001
71700,0.572734
71800,0.573104
71900,0.57385
72000,0.573749
72100,0.574206
72200,0.574346
72300,0.574435
72400,0.574507
72500,0.57424
72600,0.574833
72700,0.575304
72800,0.575948
72900,0.575255
73000,0.575492
73100,0.576131
73200,0.576799
73300,0.576393
73400,0.576586
73500,0.575746
73600,0.576064
73700,0.575923
73800,0.575939
73900,0.576134
74000,0.576082
74100,0.575479
74200,0.575848
74300,0.576254
74400,0.575915
74500,0.575582
74600,0.575807
74700,0.575566
74800,0.575366
74900,0.575815
75000,0.575352
75100,0.57536
75200,0.575745
75300,0.574748
75400,0.575006
75500,0.57481
75600,0.574196
75700,0.573759
75800,0.57352
75900,0.573891
76000,0.573582
76100,0.573579
76200,0.573904
76300,0.573549
76400,0.57359
76500,0.573921
76600,0.573302
76700,0.573685
76800,0.573536
76900,0.573503
77000,0.573878
77100,0.573759
77200,0.573543
77300,0.573574
77400,0.573918
77500,0.573828
77600,0.573346
77700,0.573297
77800,0.573387
77900,0.573716
78000,0.57353
78100,0.573706
78200,0.573584
78300,0.57341
78400,0.57341
78500,0.574032
78600,0.57426
78700,0.574304
78800,0.574142
78900,0.573927
79000,0.573639
79100,0.573674
79200,0.574053
79300,0.573859
79400,0.573407
79500,0.57367
79600,0.573392
79700,0.573472
79800,0.573849
79900,0.573785
80000,0.573585
80100,0.573467
80200,0.57341
80300,0.573575
80400,0.573317
80500,0.573327
80600,0.573764
80700,0.574026
80800,0.574381
80900,0.57369
81000,0.573528
81100,0.573314
81200,0.573297
81300,0.573446
81400,0.573256
81500,0.573485
81600,0.573554
81700,0.573472
81800,0.57371
81900,0.572898
82000,0.573667
82100,0.573397
82200,0.57341
82300,0.573418
82400,0.572937
82500,0.573115
82600,0.572966
82700,0.573038
82800,0.573017
82900,0.572654
83000,0.57293
83100,0.57285
83200,0.572955
83300,0.572885
83400,0.572903
83500,0.572642
83600,0.572767
83700,0.572669
83800,0.572536
83900,0.572783
84000,0.572934
84100,0.573007
84200,0.572998
84300,0.573399
84400,0.573158
84500,0.573138
84600,0.572795
84700,0.572678
84800,0.572438
84900,0.57259
85000,0.572603
85100,0.572202
85200,0.5724
85300,0.572639
85400,0.572621
85500,0.57256
85600,0.572657
85700,0.572266
85800,0.572197
85900,0.571981
86000,0.57194
86100,0.572261
86200,0.571943
86300,0.57185
86400,0.571405
86500,0.571703
86600,0.571231
86700,0.571793
86800,0.571336
86900,0.57111
87000,0.57102
87100,0.571007
87200,0.570792
87300,0.570527
87400,0.57094
87500,0.570776
87600,0.570986
87700,0.571194
87800,0.571231
87900,0.570933
88000,0.570896
88100,0.570822
88200,0.570521
88300,0.570179
88400,0.570531
88500,0.570966
88600,0.57094
88700,0.571087
88800,0.571582
88900,0.571462
89000,0.571439
89100,0.571565
89200,0.571734
89300,0.571236
89400,0.571472
89500,0.571377
89600,0.571367
89700,0.571131
89800,0.571369
89900,0.570589
90000,0.57057
90100,0.570463
90200,0.570766
90300,0.570313
90400,0.570593
90500,0.569951
90600,0.570128
90700,0.570134
90800,0.570015
90900,0.570033
