Blocksize,RelSize
100,1.0072
200,0.978012
300,0.943279
400,0.922624
500,0.903731
600,0.884774
700,0.873598
800,0.862228
900,0.851567
1000,0.840691
1100,0.831428
1200,0.82283
1300,0.814233
1400,0.809655
1500,0.802755
1600,0.796436
1700,0.787818
1800,0.786335
1900,0.780058
2000,0.778468
2100,0.765336
2200,0.763487
2300,0.757254
2400,0.757082
2500,0.755642
2600,0.747475
2700,0.749731
2800,0.747775
2900,0.744079
3000,0.743928
3100,0.735911
3200,0.734879
3300,0.733805
3400,0.730688
3500,0.728947
3600,0.726626
3700,0.727486
3800,0.725809
3900,0.718609
4000,0.7205
4100,0.717341
4200,0.71315
4300,0.713687
4400,0.713601
4500,0.710635
4600,0.70481
4700,0.703349
4800,0.705391
4900,0.707862
5000,0.706121
5100,0.700125
5200,0.699114
5300,0.699329
5400,0.700383
5500,0.70135
5600,0.701823
5700,0.695504
5800,0.692645
5900,0.690453
6000,0.692
6100,0.688174
6200,0.690001
6300,0.689507
6400,0.689163
6500,0.686756
6600,0.686906
6700,0.684886
6800,0.686111
6900,0.689142
7000,0.685445
7100,0.683747
7200,0.685896
7300,0.687078
7400,0.686691
7500,0.685875
7600,0.684735
7700,0.680888
7800,0.678137
7900,0.678803
8000,0.678782
8100,0.67947
8200,0.676009
8300,0.676246
8400,0.676181
8500,0.675558
8600,0.676632
8700,0.676052
8800,0.676439
8900,0.675794
9000,0.67472
9100,0.672334
9200,0.670163
9300,0.666337
9400,0.666595
9500,0.665284
9600,0.666552
9700,0.666036
9800,0.667261
9900,0.669368
10000,0.668572
10100,0.668572
10200,0.666767
10300,0.667347
10400,0.665542
10500,0.662683
10600,0.663672
10700,0.662705
10800,0.661888
10900,0.661931
11000,0.662705
11100,0.661265
11200,0.661501
11300,0.658943
11400,0.657095
11500,0.655161
11600,0.654279
11700,0.65155
11800,0.652323
11900,0.651614
12000,0.653656
12100,0.651765
12200,0.651915
12300,0.652452
12400,0.652452
12500,0.652474
12600,0.653957
12700,0.652581
12800,0.65602
12900,0.656192
13000,0.655956
13100,0.657568
13200,0.657009
13300,0.655698
13400,0.655204
13500,0.655161
13600,0.654752
13700,0.655311
13800,0.657009
13900,0.654989
14000,0.652796
14100,0.651958
14200,0.65271
14300,0.652151
14400,0.653398
14500,0.653097
14600,0.653334
14700,0.652388
14800,0.651399
14900,0.651743
15000,0.651937
15100,0.649873
15200,0.64824
15300,0.645446
15400,0.644973
15500,0.643038
15600,0.641405
15700,0.639965
15800,0.640781
15900,0.640781
16000,0.639599
16100,0.639127
16200,0.639298
16300,0.640824
16400,0.641147
16500,0.641426
16600,0.640846
16700,0.640395
16800,0.641964
16900,0.639836
17000,0.640653
17100,0.641233
17200,0.641276
17300,0.640889
17400,0.641018
17500,0.640739
17600,0.641061
17700,0.639621
17800,0.640287
17900,0.639965
18000,0.641297
18100,0.641061
18200,0.639707
18300,0.639406
18400,0.639965
18500,0.639191
18600,0.640051
18700,0.639234
18800,0.640502
18900,0.639212
19000,0.639621
19100,0.639127
19200,0.640953
19300,0.640029
19400,0.64033
19500,0.640996
19600,0.640824
19700,0.640975
19800,0.641233
19900,0.640158
20000,0.639793
20100,0.640373
20200,0.641082
20300,0.639965
20400,0.63947
20500,0.640029
20600,0.638654
20700,0.638009
20800,0.637364
20900,0.637966
21000,0.635279
21100,0.635473
21200,0.635
21300,0.634462
21400,0.635129
21500,0.634312
21600,0.634527
21700,0.634398
21800,0.634011
21900,0.634312
22000,0.634076
22100,0.632958
22200,0.632464
22300,0.632958
22400,0.631754
22500,0.630594
22600,0.630336
22700,0.629605
22800,0.627671
22900,0.62651
23000,0.62421
23100,0.622319
23200,0.622018
23300,0.620599
23400,0.619267
23500,0.619181
23600,0.620062
23700,0.619417
23800,0.619997
23900,0.619546
24000,0.619825
24100,0.620341
24200,0.619933
24300,0.619954
24400,0.619825
24500,0.620298
24600,0.620191
24700,0.622448
24800,0.620642
24900,0.619868
25000,0.619632
25100,0.620191
25200,0.620599
25300,0.621051
25400,0.620212
25500,0.620492
25600,0.621416
25700,0.621094
25800,0.620986
25900,0.621115
26000,0.620836
26100,0.621652
26200,0.621975
26300,0.622383
26400,0.621566
26500,0.621373
26600,0.622706
26700,0.621889
26800,0.621652
26900,0.622082
27000,0.621394
27100,0.621889
27200,0.62219
27300,0.622383
27400,0.623092
27500,0.623479
27600,0.624747
27700,0.622899
27800,0.622835
27900,0.622921
28000,0.622469
28100,0.622104
28200,0.622061
28300,0.621352
28400,0.622555
28500,0.622254
28600,0.622448
28700,0.621975
