Blocksize,RelSize
100,0.120648
200,0.103296
300,0.0907278
400,0.0889642
500,0.0825544
600,0.0823042
700,0.0785966
800,0.0788271
900,0.0783312
1000,0.0770044
1100,0.0762325
1200,0.0754455
1300,0.0756093
1400,0.0740307
1500,0.074754
1600,0.0735288
1700,0.0736562
1800,0.0734696
1900,0.0727008
2000,0.073829
2100,0.0729086
2200,0.0725947
2300,0.0717971
2400,0.0720852
2500,0.0724961
2600,0.0716833
2700,0.0720382
2800,0.0716469
2900,0.0717971
3000,0.0719639
3100,0.0724552
3200,0.0713103
3300,0.0715014
3400,0.0714225
3500,0.0714134
3600,0.0713406
3700,0.070963
3800,0.0712587
3900,0.0707507
4000,0.0709145
4100,0.0707159
4200,0.0706871
4300,0.070822
4400,0.0702776
4500,0.0707204
4600,0.0703292
4700,0.0705384
4800,0.0701866
4900,0.0703686
5000,0.0702625
5100,0.0701411
5200,0.0701381
5300,0.0699167
5400,0.0704535
5500,0.070264
5600,0.0701048
5700,0.0696968
5800,0.069853
5900,0.070496
6000,0.0705961
6100,0.0705733
6200,0.070176
6300,0.0705293
6400,0.0700517
6500,0.0698879
6600,0.0701639
6700,0.06985
6800,0.0700866
6900,0.0700547
7000,0.0696604
7100,0.0695998
7200,0.0700365
7300,0.0697302
7400,0.0693162
7500,0.0694269
7600,0.0696999
7700,0.0701487
7800,0.0697166
7900,0.0698682
8000,0.069665
8100,0.0698015
8200,0.0697802
8300,0.0696665
8400,0.0698515
8500,0.0697287
8600,0.0693981
8700,0.0688037
8800,0.0689508
8900,0.0695558
9000,0.0698788
9100,0.0697651
9200,0.0690251
9300,0.0691509
9400,0.0697438
9500,0.0694269
9600,0.0687703
9700,0.0691373
9800,0.0696377
9900,0.0689902
10000,0.0691297
10100,0.0694391
10200,0.0687794
10300,0.0692965
10400,0.0690706
10500,0.0687946
10600,0.0693875
10700,0.0687627
10800,0.0694163
10900,0.0690038
11000,0.0691479
11100,0.0689402
11200,0.0688659
11300,0.0687385
11400,0.068975
11500,0.0687263
11600,0.0690493
11700,0.0687552
11800,0.0692722
11900,0.0689462
12000,0.0693177
12100,0.0688583
12200,0.0693102
12300,0.0687279
12400,0.0690857
12500,0.0690327
12600,0.0687931
12700,0.0693572
12800,0.0686338
12900,0.0691039
13000,0.0689295
13100,0.0688006
13200,0.0693602
13300,0.0687279
13400,0.0689538
13500,0.0693951
13600,0.0688537
13700,0.0690509
13800,0.0694527
13900,0.0688552
14000,0.0689159
14100,0.0694952
14200,0.0685762
14300,0.0687688
14400,0.069248
14500,0.0686581
14600,0.0688128
14700,0.0692601
14800,0.0686945
14900,0.0686945
15000,0.0688962
15100,0.0690069
15200,0.0687188
15300,0.0687006
15400,0.0691691
15500,0.0686505
15600,0.0686414
15700,0.0686081
15800,0.0691221
15900,0.0685611
16000,0.0685459
16100,0.0684883
16200,0.06916
16300,0.0684564
16400,0.068652
16500,0.0684428
16600,0.0691797
16700,0.0684974
16800,0.0686718
16900,0.0686065
17000,0.0690296
17100,0.0687915
17200,0.0686429
17300,0.0687294
17400,0.0684701
17500,0.069201
17600,0.0684898
17700,0.0687673
17800,0.0686763
17900,0.0685034
18000,0.069204
18100,0.0685004
18200,0.0686869
18300,0.0685656
18400,0.0684928
18500,0.0691737
18600,0.0685216
18700,0.0688097
18800,0.0685762
18900,0.0684852
19000,0.0689462
19100,0.0688477
19200,0.0684276
19300,0.0685914
19400,0.0684564
19500,0.0684367
19600,0.0691176
19700,0.0686414
19800,0.0686156
19900,0.0685368
20000,0.0684473
20100,0.0684883
20200,0.0689902
20300,0.0687809
20400,0.0684655
20500,0.0686187
20600,0.0685338
20700,0.0684792
20800,0.0686338
20900,0.0691236
21000,0.0685504
21100,0.06874
21200,0.0686839
21300,0.0684352
21400,0.0685125
21500,0.0687582
21600,0.0691343
21700,0.0685368
21800,0.0687385
21900,0.0686263
22000,0.068414
22100,0.0684777
22200,0.0684018
22300,0.0690524
22400,0.068693
22500,0.0684625
22600,0.0685216
22700,0.0685474
22800,0.0684579
22900,0.0684155
23000,0.0684458
23100,0.0690509
23200,0.0687552
23300,0.0684837
23400,0.0685838
23500,0.0685793
23600,0.0684488
23700,0.0684822
23800,0.0684322
23900,0.0689356
24000,0.0690751
24100,0.0686854
24200,0.068649
24300,0.0686005
24400,0.0686202
24500,0.0684595
24600,0.0684913
24700,0.0684337
24800,0.0687081
24900,0.0691525
25000,0.0687552
25100,0.0685474
25200,0.0686217
25300,0.0686672
25400,0.0684215
25500,0.068464
25600,0.0684109
25700,0.0684473
25800,0.0687521
25900,0.0690751
26000,0.0687142
26100,0.0684276
26200,0.0686156
26300,0.0686323
26400,0.0684215
26500,0.0684367
26600,0.0685201
26700,0.0686035
26800,0.0685884
26900,0.0691236
27000,0.0692374
27100,0.0688204
27200,0.0686126
27300,0.0687688
27400,0.0688279
27500,0.0686354
27600,0.0686232
